Week,covid19: (Worldwide),covid19: (United States)
6/21/2020,100,99
6/28/2020,94,100
7/5/2020,87,87
7/12/2020,87,84
7/19/2020,77,72
7/26/2020,73,64
8/2/2020,71,55
8/9/2020,61,47
8/16/2020,57,43
8/23/2020,50,34
8/30/2020,48,33
9/6/2020,47,31
9/13/2020,44,29
9/20/2020,47,30
9/27/2020,45,37
10/4/2020,45,33
10/11/2020,42,28
10/18/2020,42,29
10/25/2020,43,32
11/1/2020,37,23
11/8/2020,42,35
11/15/2020,43,45
11/22/2020,38,37
11/29/2020,36,35
12/6/2020,37,39
12/13/2020,38,35
12/20/2020,36,33
12/27/2020,37,36
1/3/2021,41,38
1/10/2021,41,39
1/17/2021,39,39
1/24/2021,37,37
1/31/2021,33,31
2/7/2021,29,27
2/14/2021,30,27
2/21/2021,29,26
2/28/2021,31,26
3/7/2021,31,28
3/14/2021,30,25
3/21/2021,31,22
3/28/2021,33,26
4/4/2021,34,22
4/11/2021,34,18
4/18/2021,37,16
4/25/2021,40,16
5/2/2021,38,15
5/9/2021,37,14
5/16/2021,36,13
5/23/2021,34,13
5/30/2021,32,13
6/6/2021,30,12
